source,id,gauge_id,orig_id
camels_ch,350,camels_ch_350,350
camels_ch,3439,camels_ch_3439,3439
camels_ch,1020,camels_ch_1020,1020
camels_ch,4291,camels_ch_4291,4291
camels_ch,2846,camels_ch_2846,2846
camels_ch,3733,camels_ch_3733,3733
camels_ch,1448,camels_ch_1448,1448
camels_ch,3572,camels_ch_3572,3572
camels_ch,1425,camels_ch_1425,1425
camels_ch,2325,camels_ch_2325,2325
camels_ch,2367,camels_ch_2367,2367
camels_ch,683,camels_ch_683,683
camels_ch,1902,camels_ch_1902,1902
camels_ch,1789,camels_ch_1789,1789
camels_ch,4299,camels_ch_4299,4299
camels_ch,1175,camels_ch_1175,1175
camels_ch,3685,camels_ch_3685,3685
camels_ch,3184,camels_ch_3184,3184
camels_ch,621,camels_ch_621,621
camels_ch,3862,camels_ch_3862,3862
